名  称,类别,最大占比,相似或相克,水分（克）,能量(千卡）,蛋白质（克）,脂肪（克）,碳水化物（克）,膳食纤维（克）,胆固醇（毫克）,维生素A（μg）,维生素B1（毫克）,维生素B2（毫克）,烟酸（毫克）,维生素C（毫克）,维生素E（毫克）,钙（毫克）,磷（毫克）,钾（毫克）,钠（毫克）,镁（毫克）,铁（毫克）,锌（毫克）,硒（μg）,铜（毫克）,锰（毫克）
樱桃萝卜缨,蔬菜,1,,94,14,2,0.1,2.7,2.3,0,120,0.04,0.09,0.26,14,1.4,56,50,126,111.3,45,3.9,0.4,0.58,0.03,0.51
油菜（脱水）,蔬菜,1,,9,316.2,7.6,0.6,74.3,8.6,0,288,0.33,0.19,10.5,124,7.73,596,182,635,405.3,105,19.3,4.78,13.14,3.06,1.28
油菜心,蔬菜,1,,95.1,15,1.3,0.4,2.7,0,0,0,0.02,0.06,0.41,0,0.16,74,26,166,33.4,25,0.6,0.19,0.26,0.04,0.07
玉米（鲜）,蔬菜,1,,71.3,112,4,1.2,22.8,2.9,0,0,0.16,0.11,1.8,16,0.46,0,117,238,1.1,32,1.1,0.9,1.63,0.09,0.22
榨菜,蔬菜,1,,75,33.2,2.2,0.3,6.5,2.1,0,41.5,0.03,0.06,0.5,2,0,155,41,363,4252.6,54,3.9,0.63,1.93,0.14,0.35
竹荪（干）,蔬菜,1,,13.9,248,17.8,3.1,60.3,46.4,0,0,0.03,1.75,9.1,0,0,18,289,11882,50,114,17.8,2.2,41.7,2.51,8.47
竹笋（白笋，干）,蔬菜,1,,10,282.4,26,4,57.1,43.2,0,1,0,0.32,0.2,0,0,31,222,1754,0.7,22,4.2,3.3,2.34,1.94,2.2
竹笋（鞭笋，马鞭笋）,蔬菜,1,,90.1,24.2,2.6,0,6.7,6.6,0,0,0.05,0.09,0.5,7,0,17,49,379,4.6,13,2.5,0.64,0.44,0.08,0.69
竹笋（黑笋，干）,蔬菜,1,,14.4,268,17.6,2.4,57.5,27.2,0,0,0,0.41,1.9,0,0,30,426,115,6.2,82,18.9,7.6,4.2,1.3,5.43
竹笋（毛笋，毛竹笋）,蔬菜,1,,93.1,23,2.2,0.2,3.8,1.3,0,0,0.04,0.05,0.3,9,0.15,16,34,318,5.2,8,0.9,0.47,0.38,0.07,0.35
大白菜（白梗）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,93.6,22,1.7,0.2,3.7,0.6,0,21,0.06,0.07,0.8,47,0.92,69,30,130,89.3,12,0.5,0.21,0.33,0.03,0.21
大白菜（青白口）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,95.1,17,1.4,0.1,3,0.9,0,7,0.03,0.04,0.4,28,0.36,35,28,90,48.4,9,0.6,0.61,0.39,0.04,0.16
大白菜（小白口）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,95.2,16,1.3,0.1,2.8,0.9,0,3,0.02,0.03,0.5,19,0.21,45,35,137,34.8,11,0.9,0.31,0.75,0.07,0.17
大白菜（代表值）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,94.4,20,1.6,0.2,3.4,0.9,0,7,0.05,0.04,0.65,37.5,0.36,57,33,134,68.9,12,0.8,0.46,0.57,0.06,0.19
小白菜（青菜，白菜）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,94.8,14,1.4,0.3,2.4,0,0,154,0.01,0.05,0,64,0.4,117,26,116,132.2,30,1.3,0.23,0.39,0.02,0.15
圆白菜（卷心菜）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,93.2,24,1.5,0.2,4.6,1,0,6,0.03,0.03,0.4,40,0.5,49,26,124,27.2,12,0.6,0.25,0.96,0.04,0.18
奶白菜,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,92.6,21,2.7,0.2,3.3,1.5,0,95,0.02,0.1,0.59,37.4,0.16,66,55,126,170.2,41,1,0.28,0.43,0.05,0.24
娃娃菜,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,95,13,1.9,0.2,2.4,0,0,4,0.04,0.03,0.61,12,0,78,58,278,19.3,17,0.4,0.35,0.16,0.03,0.13
酸白菜（酸菜）,蔬菜,1,大白菜（白梗）_大白菜（青白口）_大白菜（小白口）_大白菜（代表值）_小白菜（青菜，白菜）_圆白菜（卷心菜）_奶白菜_娃娃菜_酸白菜（酸菜）,94.9,10,0.7,0.2,2.6,0.5,0,5,0.01,0.01,0.6,2,0.86,48,38,104,43.1,21,0.3,0.03,0.16,0.04,0.01
白萝卜（莱菔）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,94.6,16,0.7,0.1,4,0,0,0,0.02,0.01,0.14,19,0,47,16,167,54.3,12,0.2,0.14,0.12,0.01,0.05
卞萝卜（红皮萝卜）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,94.2,20.2,0.8,0.1,5.3,1.1,0,0,0.01,0.02,0.22,5.6,0,39,27,16,111.2,24,0.3,0.23,0.27,0.02,0.04
红心萝卜（心里美）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,88,43.8,1.2,0,11.2,1.4,0,7,0.02,0.02,0.1,20,0,86,30,385,49.1,23,0.9,0.74,0.73,0.05,0.08
胡萝卜（红）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,89.2,41.2,1,0.2,9.9,1.1,0,344,0.04,0.03,0.6,13,0.41,32,27,190,71.4,14,1,0.23,0.63,0.08,0.24
胡萝卜（黄）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,87.4,48.6,1.4,0.2,11.5,1.3,0,344,0.04,0.04,0.2,16,0,32,16,193,25.1,7,0.5,0.14,2.8,0.03,0.07
青萝卜,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,91,29,1.2,0.2,6.9,0,0,7,0.01,0.02,0.62,7,0,47,31,248,56,15,0.3,0.16,0.1,0.02,0.06
水萝卜（脆萝卜）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,92.9,24.8,0.8,0,6.9,1.4,0,21,0.03,0.05,0,45,0,0,0,0,9.7,0,0,0.49,0,0.01,0.05
小水萝卜（算盘子，红皮萝卜）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,93.9,23,1.1,0.2,5.2,1,0,2,0.02,0.04,0.4,22,0.78,32,21,286,33.5,17,0.4,0.21,0.65,0.03,0.09
红旦旦萝卜（樱桃萝卜、小水萝卜）,蔬菜,1,白萝卜（莱菔）_卞萝卜（红皮萝卜）_红心萝卜（心里美）_胡萝卜（红）_胡萝卜（黄）_青萝卜_水萝卜（脆萝卜）_小水萝卜（算盘子，红皮萝卜）_红旦旦萝卜（樱桃萝卜、小水萝卜）,94.4,19,0.8,0,4.3,0.8,0,0,0.01,0,0,4,1.11,9,43,63,20.1,11,2.9,0.32,1.45,0,0.05
甜菜根（甜菜头，甜萝卜）,蔬菜,1,,74.8,87,1,0.1,23.5,5.9,0,0,0.05,0.04,0.2,8,1.85,56,18,254,20.8,38,0.9,0.31,0.29,0.15,0.86
